idx,prompt,model,set,premise,hypothesis,genre,label_true,predicted_label,raw_response,prompt_tokens,completion_tokens,total_tokens,cost_usd,reasoning_tokens
68,P2_zero_shot_def,gpt5,matched,"Also, I will be assuming that the 6.0a cost of the Postal Service to take the mail from basic to workshared condition is constant as limited quantities of mail move back and forth between basic and workshared.",I will make no assumptions about the costs to the postal service.,government,contradiction,contradiction,contradiction,122,140,262,0.00682,128.0
69,P2_zero_shot_def,gpt5,matched,You'll find galleries in all the major towns and in some of the smaller villages.,The major towns have banned the existence of galleries.,travel,contradiction,contradiction,contradiction,90,76,166,0.00394,64.0
70,P2_zero_shot_def,gpt5,matched,"Similarly, OIM revised the electronic Grant Renewal Application to accommodate new information sought by LSC and to ensure greater ease for users.",Changes were made to the Grant Renewal Application to provide extra information to the LSC.,government,entailment,entailment,entailment,107,268,375,0.01179,256.0
71,P2_zero_shot_def,gpt5,matched,um-hum what is your worst then,Then what is your worst?,telephone,entailment,entailment,entailment,79,204,283,0.00895,192.0
72,P2_zero_shot_def,gpt5,matched,Slate 's Joseph Nocera.,Nocera works for Slate.,slate,entailment,neutral,neutral,79,906,985,0.03703,896.0
73,P2_zero_shot_def,gpt5,matched,That's an opportunity that very few people have had.,Pretty much everyone has that opportunity. ,government,contradiction,contradiction,contradiction,82,524,606,0.02178,512.0
74,P2_zero_shot_def,gpt5,matched,Cybernetics had always been Derry's passion.,Derry had a passion for cybernetics.,fiction,entailment,entailment,entailment,85,140,225,0.00645,128.0
75,P2_zero_shot_def,gpt5,matched,"Consistent with GAO's Congressional Protocols, GAO will then offer the requester(s) a draft of the product that is with the agency for comment.",The agency received a draft of the product from the GAO.,government,entailment,entailment,entailment,109,1164,1273,0.04765,1152.0
76,P2_zero_shot_def,gpt5,matched,"Merrion Square West, Dublin 2.","Merrion Square East, Dublin 2.",travel,contradiction,neutral,neutral,82,266,348,0.01146,256.0
77,P2_zero_shot_def,gpt5,matched,that's neat just supervised more or less than anything and security i guess for them,They just supervise people.,telephone,entailment,neutral,neutral,85,394,479,0.01661,384.0
78,P2_zero_shot_def,gpt5,matched,"Although this award will now be handed out annually, Bailey was selected for several years of his commitment.","Bailey may have won several times, but it was a humbling experience each time the award was given to him.",government,neutral,neutral,neutral,107,714,821,0.02963,704.0
79,P2_zero_shot_def,gpt5,matched,um yeah that sounds kind of neat uh is location at all important to you like you know how far it is from your house or whatever,Location doesn't matter to some people but it may matter to you I don't know. ,telephone,neutral,neutral,neutral,109,394,503,0.01685,384.0
80,P2_zero_shot_def,gpt5,matched,"A chancy road winding up to the 475-metre (1,560-foot) summit is likely to test the engine and suspension of your car, as well as your own persistence.",It is a short and easy trip to get to the summit.,travel,contradiction,contradiction,contradiction,115,332,447,0.01443,320.0
81,P2_zero_shot_def,gpt5,matched,"This tourist heartland is also home to 100,000 Jamaicans who live in the hills surrounding the town.",Beautiful white beaches are the reason this town is so popular with tourists.,travel,neutral,neutral,neutral,101,138,239,0.0065299999999999,128.0
82,P2_zero_shot_def,gpt5,matched,because we don't always read the newspaper sometimes it just sits around for a while and then we just chuck it,Sometimes we throw the newspaper away without reading it.,telephone,entailment,entailment,entailment,96,140,236,0.00656,128.0
83,P2_zero_shot_def,gpt5,matched,"In the 1980s, and as late as 1994, a major Republican theme was a sort of taunting, nyah-nyah populism.","For almost a decade, the main Republican theme was some form of populism.",slate,entailment,neutral,neutral,114,906,1020,0.03738,896.0
84,P2_zero_shot_def,gpt5,matched,but how do you know  the good from the bad,Why care if it's good or bad?,telephone,contradiction,neutral,neutral,84,330,414,0.01404,320.0
85,P2_zero_shot_def,gpt5,matched,"A funny place for a piece of brown paper, I mused. ","I looked down at my desk, which was a mess, as usual, and had some white and brown papers on it.",fiction,neutral,neutral,neutral,104,202,306,0.00912,192.0
86,P2_zero_shot_def,gpt5,matched,"Up here, gazing out at strikingly lush mountains, you may find yourself higher than the clouds, which adds to the extraordinarily eerie atmosphere of the place.","Down here, you can see the gold mines from the old explorers, you are way lower than the sea level, so be careful.",travel,contradiction,neutral,neutral,123,330,453,0.01443,320.0
87,P2_zero_shot_def,gpt5,matched,"approaches for setting different requirements for sources that pose different levels of hazard (tiering); worst-case releases and other hazard assessment issues; accident information reporting; public participation; inherently safer approaches; and implementation and integration of section 112(r) with state programs, particularly state air permitting programs.",There are no hazards and therefore aren't any different requirements.,government,contradiction,contradiction,contradiction,132,140,272,0.00692,128.0
88,P2_zero_shot_def,gpt5,matched,The census of 1931 served as an alarm signal for the Malay national consciousness.,The 1931 Malay census was an alarm bell.,travel,entailment,entailment,entailment,92,716,808,0.02956,704.0
89,P2_zero_shot_def,gpt5,matched,"The NYT , in its front-page coverage, says the plane was flying far lower than the rules for training missions allow.","According to the NYT, training missions did not allow planes to fly that low. ",slate,entailment,entailment,entailment,107,140,247,0.00667,128.0
90,P2_zero_shot_def,gpt5,matched,Five minutes later she smiled contentedly at her reflection in the glass.,She was looking at her reflection in the rearview mirror of her car.,fiction,neutral,neutral,neutral,93,74,167,0.00389,64.0
91,P2_zero_shot_def,gpt5,matched,"To address these concerns, we supplement our Base Estimate of benefits with a series of sensitivity calculations that make use of other sources of concentration-response and valuation data for key benefits categories.",Some scenarios allow for supplemental data to be used in lieu of primary data.,government,entailment,neutral,neutral,114,586,700,0.0245799999999999,576.0
92,P2_zero_shot_def,gpt5,matched,right yeah that's it's always handy to have that that credit card for whatever it is that you might need it for,It is not necessary to have a credit card.,telephone,contradiction,neutral,neutral,97,394,491,0.01673,384.0
93,P2_zero_shot_def,gpt5,matched,"The next year, he built himself a palace, Iolani, which can still be toured in Honolulu.",There are no palaces in Honolulu that can be toured.,travel,contradiction,contradiction,contradiction,98,76,174,0.00402,64.0
94,P2_zero_shot_def,gpt5,matched,I knew him and liked and respected him.,I never knew the man.,slate,contradiction,contradiction,contradiction,79,12,91,0.00127,0.0
95,P2_zero_shot_def,gpt5,matched,The Star reports that actress Jodie Foster is pregnant through artificial insemination.,It has been reported by The Star that Jodie Foster is pregnant with twins through artificial insemination.,slate,neutral,neutral,neutral,101,74,175,0.00397,64.0
96,P2_zero_shot_def,gpt5,matched,Why bother to sacrifice your lives for dirt farmers and slavers?,People sacrifice their lives for farmers and slaves.,fiction,neutral,neutral,neutral,86,586,672,0.0243,576.0
97,P2_zero_shot_def,gpt5,matched,"The street ends at Taksim Square (Taksim Meydane), the heart of modern Istanbul, lined with luxurious five-star hotels and the glass-fronted Ataturk Cultural Centre (Ataturk Keleter Sarayy), also called the Opera House.",There are only residential houses on the street.,travel,contradiction,neutral,neutral,127,394,521,0.01703,384.0
98,P2_zero_shot_def,gpt5,matched,um-hum yeah i saw that for the first time yesterday in the evening,I have seen that many times before.,telephone,contradiction,contradiction,contradiction,88,76,164,0.00392,64.0
99,P2_zero_shot_def,gpt5,matched,yeah well the jury that originally sentenced him sentenced him to death,The sentence later got revised under review of a judge.,telephone,neutral,neutral,neutral,88,74,162,0.00384,64.0
100,P2_zero_shot_def,gpt5,matched,I hope that all key parties will take the necessary steps to address any real and perceived problems that serve to undercut public trust and confidence.,I hope that no key parties take steps to address problems.,government,contradiction,contradiction,contradiction,104,268,372,0.01176,256.0
101,P2_zero_shot_def,gpt5,matched,Programs in Michigan and the District of Columbia received one-year grant terms for 2002.,Programs in Michigan receive no grants at all. ,government,contradiction,contradiction,contradiction,92,204,296,0.00908,192.0
102,P2_zero_shot_def,gpt5,matched,"Though the two cities remained unlinked by rail, this was about to change quickly.",The two cities had a railway between them that made travel easy.,travel,contradiction,contradiction,contradiction,94,204,298,0.0091,192.0
103,P2_zero_shot_def,gpt5,matched,I smiled vaguely.,I moved my face.,fiction,entailment,entailment,entailment,73,204,277,0.00889,192.0
104,P2_zero_shot_def,gpt5,matched,"Despite a recent renovation, the Meadows Mall is the least appealing of the three suburban malls.",The Meadows Mall is very popular and beautiful.,travel,contradiction,neutral,neutral,91,330,421,0.01411,320.0
105,P2_zero_shot_def,gpt5,matched,and then you can add cocoa powder to it to make chocolate or after it's thickened i cook it for a good once it starts boiling i just i cook it for a good seven minutes,I never bring it to a boil when I make cocoa.,telephone,contradiction,contradiction,contradiction,114,2188,2302,0.08866,2176.0
106,P2_zero_shot_def,gpt5,matched,"In a six-year study, scientists fed dogs and other animals irradiated chicken and found no evidence of increased cancer or other toxic effects.",Scientists gave animals irradiated chicken and they all died quickly.,slate,contradiction,contradiction,contradiction,103,204,307,0.00919,192.0
107,P2_zero_shot_def,gpt5,matched,But a list of who's better than other people in some aspect or another is not inevitable and does not make the economy any more prosperous or society any richer in other ways.,A listing of those better than others is very helpful to the economy.,slate,contradiction,contradiction,contradiction,112,76,188,0.00416,64.0
108,P2_zero_shot_def,gpt5,matched,uh-huh you can't do that in a skirt  poor thing,You need to wear something else.,telephone,entailment,neutral,neutral,85,714,799,0.02941,704.0
109,P2_zero_shot_def,gpt5,matched,"First, the Comptroller General sends a written request to the agency head for the record that has not been made available to GAO within a reasonable time after an initial request.",They are given a proper amount of time to do the report.,government,entailment,neutral,neutral,112,650,762,0.02712,640.0
110,P2_zero_shot_def,gpt5,matched,Agricultural shows,Farm performances,travel,entailment,neutral,neutral,70,202,272,0.00878,192.0
111,P2_zero_shot_def,gpt5,matched,Can you point me to housewares?,"Please point me in the direction of the pet supplies, I asked.",slate,contradiction,contradiction,contradiction,86,332,418,0.01414,320.0
112,P2_zero_shot_def,gpt5,matched,Intifada to the Present,The extending from the Palestinian uprising until today.,travel,entailment,entailment,entailment,80,780,860,0.032,768.0
113,P2_zero_shot_def,gpt5,matched,"THEY ARE READY, returned Susan's voice in the back of his mind.",He cringed when he imagined Susan's voice.,fiction,neutral,neutral,neutral,90,138,228,0.0064199999999999,128.0
114,P2_zero_shot_def,gpt5,matched,yeah well i was surprised at the the way they drafted last year they didn't really didn't go for the uh big offensive lineman or the defensive lineman they're going for the skilled positions so quarterbacks they really,I thought they should focus more on big linemen.,telephone,neutral,neutral,neutral,116,394,510,0.01692,384.0
115,P2_zero_shot_def,gpt5,matched,"Small boats tie up here with batches of crayfish, fresh fish, and eel, and housewives clamor for the fishermen to weigh their choices on rudimentary scales.",They fisherman caught 500 pounds of fish today. ,travel,neutral,neutral,neutral,109,138,247,0.0066099999999999,128.0
116,P2_zero_shot_def,gpt5,matched,They post loads of newspaper articles--Yahoo!,Yahoo contains articles from newspaper publications.,slate,entailment,entailment,entailment,80,460,540,0.0192,448.0
117,P2_zero_shot_def,gpt5,matched,oh i enjoyed it i mean it was just more for my money,The performance was a good deal.,telephone,neutral,neutral,neutral,85,330,415,0.01405,320.0
118,P2_zero_shot_def,gpt5,matched,"External Validity The extent to which a finding applies (or can be generalized) to persons, objects, settings, or times other than those that were the subject of study.",The degree to which conclusions can be applied to objects and persons who weren't subjects in the initial study subject is called External Validity.,government,entailment,entailment,entailment,125,204,329,0.00941,192.0
119,P2_zero_shot_def,gpt5,matched,"'Wait here,' I was ordered.",He told me to wait.,fiction,entailment,neutral,neutral,78,522,600,0.02166,512.0
120,P2_zero_shot_def,gpt5,matched,"It's easy to overdose on the many temples, palaces, and museums in India.",Many temples and palaces are free to visit in the country.,travel,neutral,neutral,neutral,94,138,232,0.00646,128.0
121,P2_zero_shot_def,gpt5,matched,"Nearby is the Monastery of Nea Moni, founded in 1049, and one of the most beautiful Byzantine religious sites in the Aegean.","Founded in 1049, the monastery was a beacon of light in the darkness.",travel,neutral,neutral,neutral,113,202,315,0.00921,192.0
122,P2_zero_shot_def,gpt5,matched,excessively violent i was worried it's like golly if kids start imitating that,"It was non-violent, so it would be great for the kids to follow their lead.",telephone,contradiction,contradiction,contradiction,99,140,239,0.00659,128.0
123,P2_zero_shot_def,gpt5,matched,Our review indicates that the Food and Drug Administration complied with the applicable requirements.,The Food and Drug Administration has strict requirements.,government,neutral,neutral,neutral,88,138,226,0.0063999999999999,128.0
124,P2_zero_shot_def,gpt5,matched,yeah it's definitely a way out of the way where  where as,I was able to find my way out of the corn maze,telephone,neutral,neutral,neutral,91,74,165,0.00387,64.0
125,P2_zero_shot_def,gpt5,matched,"Traffic, also, has been controlled, and if you're staying here you might want to consider getting around by bicycle; there's no better way to explore an island that measures no more than 20 km (121.2 miles) from end to end, one-fifth the size of Ibiza.",It is quicker to cross the island by bike than by car.,travel,neutral,neutral,neutral,135,266,401,0.01199,256.0
126,P2_zero_shot_def,gpt5,matched,Everybody has this quote from NBA commissioner David  You cannot strike your boss and still hold your job--unless you play in the NBA.,"NBA commissioner has given the same quote to everybody, but he also talked about other things.",slate,neutral,neutral,neutral,109,458,567,0.01941,448.0
127,P2_zero_shot_def,gpt5,matched,The game of billiards is also hot.,People hate playing billiards.,travel,contradiction,neutral,neutral,79,266,345,0.01143,256.0
128,P2_zero_shot_def,gpt5,matched,"(Never mind the strictest reading, which supposes that creation took a week.)",Which supposes that the creation took a month.,slate,contradiction,contradiction,contradiction,91,268,359,0.01163,256.0
129,P2_zero_shot_def,gpt5,matched,"Oh, yes, sir. Dorcas was looking very curiously at him and, to tell the truth, so was I. ",We had no interest in him at all.,fiction,contradiction,contradiction,contradiction,100,76,176,0.00404,64.0
130,P2_zero_shot_def,gpt5,matched,"When the next modernist revolution comes around, he'll be ready.",They have been prepping for years.,slate,neutral,neutral,neutral,84,202,286,0.00892,192.0
131,P2_zero_shot_def,gpt5,matched,couple of years ago i was thinking about moving to Massachusetts but uh boy i'm glad i didn't,I'm glad that I didn't move to Massachusetts.,telephone,entailment,entailment,entailment,92,140,232,0.00652,128.0
132,P2_zero_shot_def,gpt5,matched,yeah so it's easy to do i'm actually interested in getting one of those kind of my wife has been talking about this in the past couple of years one of those kind of campers that pop-up so it's about uh maybe eight foot square and but only about two feet tall and when you get to where you're going it raises up and there's tenting material,I want to get one of those campers. ,telephone,entailment,entailment,entailment,144,204,348,0.0096,192.0
133,P2_zero_shot_def,gpt5,matched,yeah i've always threatened to take lessons but i've never gotten around to it,I have never gotten around to taking lessons.,telephone,entailment,entailment,entailment,88,76,164,0.00392,64.0
134,P2_zero_shot_def,gpt5,matched,um-hum with the ice yeah,With the sunshine and heat wave yes.,telephone,contradiction,neutral,neutral,80,74,154,0.00376,64.0
135,P2_zero_shot_def,gpt5,matched,"This is one of the reasons we're growing too weak to fight the Satheri.  ""What's wrong with a ceremony of worship, if you must worship your eggshell?"" Dave asked.","Eggshell worship is the reason we're growing too weak to fight the Satheri, yet Dave asked about it.",fiction,entailment,neutral,neutral,125,1034,1159,0.04261,1024.0
136,P2_zero_shot_def,gpt5,matched,"So unlike people who are fortunate enough to be able to afford attorneys and can go to another lawyer, our clients are simply lost in the legal system if they cannot get access to it from us.",Our clients can barely afford our legal assistance.,government,entailment,neutral,neutral,112,586,698,0.02456,576.0
137,P2_zero_shot_def,gpt5,matched,"Little is recorded about this group, but they were probably the ancestors of the Gododdin, whose feats are told in a seventh-century Old Welsh manuscript.",Gododdin's deeds were never written down because it was to be passed down only orally. ,travel,contradiction,contradiction,contradiction,115,140,255,0.00675,128.0
138,P2_zero_shot_def,gpt5,matched,Beyond the facade there are cavernous empty rooms.,The rooms are preserved how they historically looked.,travel,neutral,neutral,neutral,83,138,221,0.00635,128.0
139,P2_zero_shot_def,gpt5,matched,Economic growth also depends on education to enhance the knowledge and skills of the nation's work,Economic growth has been increase quickly in recent years as knowledge is being spread faster and more efficiently.,government,neutral,neutral,neutral,100,138,238,0.00652,128.0
140,P2_zero_shot_def,gpt5,matched,Reports on attestation engagements should state that the engagement was made in accordance with generally accepted government auditing standards.,"To prevent fines, attestation engagements must have proof that they comply with government auditing standards.",government,neutral,neutral,neutral,103,138,241,0.00655,128.0
141,P2_zero_shot_def,gpt5,matched,those little kids don't understand it,Those young children can't comprehend it. ,telephone,entailment,entailment,entailment,79,396,475,0.01663,384.0
142,P2_zero_shot_def,gpt5,matched,These adaptations are not uniformly valued.,Adaptions are always valued ,government,contradiction,contradiction,contradiction,77,1420,1497,0.05757,1408.0
143,P2_zero_shot_def,gpt5,matched,"Thus, recent evidence suggests that by not including an estimate of reductions in short-term mortality due to changes in ambient ozone, both the Base and Alternative Estimates may underestimate the benefits of implementation of the Clear Skies Act.",Recent findings say that Base and Alternative estimates may not quite see all of the benefits of the Clear Skies Act.,government,entailment,entailment,entailment,130,140,270,0.0069,128.0
144,P2_zero_shot_def,gpt5,matched,paid back down it uh,I paid off the balance.,telephone,neutral,neutral,neutral,76,138,214,0.00628,128.0
145,P2_zero_shot_def,gpt5,matched,Other examples of cumulative case studies come from two international agencies.,There are examples of cumulative case studies.,government,entailment,entailment,entailment,84,76,160,0.00388,64.0
146,P2_zero_shot_def,gpt5,matched,"I leap!"" And, in very truth, run and leap he did, gambolling wildly down the stretch of lawn outside the long window. ","The man yelled that he would sit down, and sit down he did.",fiction,contradiction,contradiction,contradiction,109,844,953,0.03485,832.0
147,P2_zero_shot_def,gpt5,matched,yeah yeah uh-huh yeah we we saw that one uh we find that uh that uh if you can get into those dollar movies you know they're uh they're a dollar and a half what is it dollar and a quarter dollar and a half now,You can get it at the dollar movies.,telephone,neutral,neutral,neutral,122,266,388,0.01186,256.0
148,P2_zero_shot_def,gpt5,matched,[Requires free registration.,Registration is only one of the requirements. ,slate,neutral,neutral,neutral,78,266,344,0.01142,256.0
149,P2_zero_shot_def,gpt5,matched,Never know where they won't turn up next. ,Everyone knows where they will turn up next.,fiction,contradiction,contradiction,contradiction,83,1292,1375,0.0525099999999999,1280.0
150,P2_zero_shot_def,gpt5,matched,"Rightly or wrongly, America is seen as globalization's prime mover and head cheerleader and will be blamed for its excesses until we start paying official attention to them.",America alone is responsible for the excesses of the globalization movement. ,slate,neutral,neutral,neutral,112,330,442,0.01432,320.0
151,P2_zero_shot_def,gpt5,matched,Where lies the real Japan?,There is a question where the real Japan lies.,travel,entailment,entailment,entailment,80,332,412,0.01408,320.0
152,P2_zero_shot_def,gpt5,matched,The story of the technology business gets spiced up because the reality is so bland.,Reality is so bland that the technology business gets spiced up.,slate,entailment,neutral,neutral,94,458,552,0.01926,448.0
153,P2_zero_shot_def,gpt5,matched,there's certain times of the year of course that uh that it probably wouldn't do very well because of the temperature and stuff but but uh the right time of year it works pretty good,"At the right time of year, this paint is great.",telephone,neutral,neutral,neutral,112,330,442,0.01432,320.0
154,P2_zero_shot_def,gpt5,matched,"But when the cushion is spent in a year or two, or when the next recession arrives, the disintermediating voters will find themselves playing the roles of budget analysts and tax wonks.",The cushion will likely be spent in under two years.,slate,entailment,neutral,neutral,114,906,1020,0.03738,896.0
155,P2_zero_shot_def,gpt5,matched,Candle grease? ,It was not candle grease.,fiction,contradiction,neutral,neutral,74,74,148,0.0037,64.0
156,P2_zero_shot_def,gpt5,matched,"Even if auditors do not follow such other standards and methodologies, they may still serve as a useful source of guidance to auditors in planning their work under GAGAS.",GAGAS requires strict compliance for auditors to follow.,government,neutral,neutral,neutral,108,650,758,0.02708,640.0
157,P2_zero_shot_def,gpt5,matched,Possibly no other country has had such a turbulent history.,The country's history has been turbulent.,travel,entailment,entailment,entailment,82,1420,1502,0.05762,1408.0
158,P2_zero_shot_def,gpt5,matched,REESTIMATE -Refers to estimates of the subsidy costs performed subsequent to their initial estimates made at the time of a loan's disbursement.,Reestimate is a term that doesn't deal with estimates.,government,contradiction,contradiction,contradiction,105,76,181,0.00409,64.0
159,P2_zero_shot_def,gpt5,matched,The large scale production of entertainment films is a phenomenon well worth seeing several times.,Watching the impressive production of entertainment skills is something worth seeing many times.,travel,entailment,neutral,neutral,94,266,360,0.01158,256.0
160,P2_zero_shot_def,gpt5,matched,yeah yeah so it's interesting to talk to somebody from that general vicinity,Conversing to someone in the area is interesting.,telephone,entailment,entailment,entailment,88,204,292,0.00904,192.0
161,P2_zero_shot_def,gpt5,matched,"At least they're getting stoned first, I rationalized.","It's awful that they get stoned first, I argued. ",slate,contradiction,neutral,neutral,89,970,1059,0.03969,960.0
162,P2_zero_shot_def,gpt5,matched,They would burn to the ground by morning.,They would not burn to the ground by morning.,fiction,contradiction,contradiction,contradiction,83,12,95,0.00131,0.0
163,P2_zero_shot_def,gpt5,matched,"Improvements in architecture, regaining intimate space and scale and all the rest, won't disguise the ugliness of advertising the local bank, Chevy dealer, and chain retailer as a backdrop for baseball.","Baseball should be about the sport, not advertisements.",slate,neutral,neutral,neutral,112,458,570,0.01944,448.0
164,P2_zero_shot_def,gpt5,matched,"However, the specific approaches to executing those principles tended to differ among the various sectors.",Specific approaches to each principle is different in each sector.,government,entailment,neutral,neutral,92,458,550,0.01924,448.0
165,P2_zero_shot_def,gpt5,matched,The following are examples of how agencies engaged employee unions.,"Agencies can engage employee unions, for example:",government,entailment,entailment,entailment,84,204,288,0.009,192.0
166,P2_zero_shot_def,gpt5,matched,"Gordon, Robert J. Does the 'New Economy' Measure Up to the Great Inventions of the Past.",There were great inventions in the past.,government,entailment,entailment,entailment,94,204,298,0.0091,192.0
167,P2_zero_shot_def,gpt5,matched,"And if, as ultimately happened, no settlement resulted, we could shrug our shoulders, say, 'Hey, we tried,' and act like unsuccessful brokers to an honorable peace.",Neither side is actually interested in a settlement at this time.,slate,neutral,neutral,neutral,111,138,249,0.00663,128.0
168,P2_zero_shot_def,gpt5,matched,Their rights have been the source of conflicts in the central government.,Their rights have been an area of turmoil within the central government.,travel,entailment,entailment,entailment,90,396,486,0.01674,384.0
169,P2_zero_shot_def,gpt5,matched,"Clearly, the press has done a lousy job with its focus on behavior such as infidelity or drug use that most people don't care about.",The press has done a great job of covering hot-button issues people want to learn about.,slate,contradiction,neutral,neutral,110,1610,1720,0.0655,1600.0
170,P2_zero_shot_def,gpt5,matched,Two aromatic aniseed drinks are also produced locally.,The aniseed drinks have a good smell to them.,travel,entailment,entailment,entailment,87,652,739,0.0269499999999999,640.0
171,P2_zero_shot_def,gpt5,matched,"In some cases, members initially participated because of an existing trust relationship with individual leaders or sponsors, and it was a challenge to keep them returning until they saw value in participating and had built trust with other members.",The trust members built themselves was more important than the trust they made with the leaders.,government,neutral,neutral,neutral,123,266,389,0.01187,256.0
172,P2_zero_shot_def,gpt5,matched,"The activities included in the Unified Agenda are, in general, those expected to have a regulatory action within the next 12 months, although agencies may include activities with an even longer time frame.",Most of the activities taken under the regulatory actions have been longer that 12 months.,government,neutral,neutral,neutral,119,650,769,0.02719,640.0
173,P2_zero_shot_def,gpt5,matched,Pick up a map from the tourist office here and ask about walking tours.,The people at the tourist office are friendly and well-informed.,travel,neutral,neutral,neutral,91,74,165,0.00387,64.0
174,P2_zero_shot_def,gpt5,matched,"Also, the final rule is not intended to have any retroactive effect and administrative procedures must be exhausted prior to any judicial challenge to the provisions of the rule.",The final rule isn't meant to have a retroactive effect but only affect legislation in the next year.,government,neutral,neutral,neutral,116,330,446,0.01436,320.0
175,P2_zero_shot_def,gpt5,matched,Act Accounting the Great Management Reform Act,Management reform is needed ,government,neutral,neutral,neutral,77,202,279,0.00885,192.0
176,P2_zero_shot_def,gpt5,matched,"Explanation building is the inverse  starting with the observations, the evaluator develops a picture of what is happening and why.",Explanation building is going to be the standard approach in the future.,government,neutral,neutral,neutral,100,74,174,0.00396,64.0
177,P2_zero_shot_def,gpt5,matched,"The spot does leave the viewer wondering about the rest of the story, and what tale the condom could tell.","The spot resolves the storyline neatly for viewers, especially regarding the condom.",slate,contradiction,contradiction,contradiction,100,76,176,0.00404,64.0
178,P2_zero_shot_def,gpt5,matched,yeah yeah uh-huh yeah we we saw that one uh we find that uh that uh if you can get into those dollar movies you know they're uh they're a dollar and a half what is it dollar and a quarter dollar and a half now,I don't think you can get it anywhere.,telephone,contradiction,neutral,neutral,122,778,900,0.03234,768.0
179,P2_zero_shot_def,gpt5,matched,"Hold hard, said Tommy.","""Don't hold at all!"" was Tommy's only message.",fiction,contradiction,contradiction,contradiction,82,140,222,0.00642,128.0
180,P2_zero_shot_def,gpt5,matched,"The traditional opening time for many hotels is the Orthodox Easter, although some do not open until the end of April.",The hotels open on March 13th.,travel,neutral,contradiction,contradiction,96,460,556,0.01936,448.0
181,P2_zero_shot_def,gpt5,matched,"The museum is open from 9am to 1pm and 2 to 5pm Monday to Friday (with audio-visual shows in the afternoon), and on Saturday mornings.","The museum is not open on Sunday, either in the morning or the afternoon.",travel,entailment,neutral,neutral,117,458,575,0.01949,448.0
182,P2_zero_shot_def,gpt5,matched,"Of particular significance --the American public has become acutely aware of the hazards to their health, including the risk of mortality, posed by inhalation of fine particles and exposure to mercury through fish consumption.",The American public is still very unaware of the health risks of inhaling small particles.,government,contradiction,contradiction,contradiction,121,76,197,0.00425,64.0
183,P2_zero_shot_def,gpt5,matched,Why shouldn't he be? ,There is no reason he shouldn't be.,fiction,entailment,neutral,neutral,78,138,216,0.0063,128.0
184,P2_zero_shot_def,gpt5,matched,maybe adult literacy maybe you know composition writing maybe you know uh volunteering you know on a tutor line or though the even through the elementary schools for help with homework or the other part of me says is God i've had enough kids  do i really,I don't know if I really want to put in more effort volunteering since I've already gone through that with my children,telephone,neutral,neutral,neutral,136,394,530,0.01712,384.0
185,P2_zero_shot_def,gpt5,matched,The Office of Information and Regulatory Affairs of OMB approved the,The motion was quickly approve because everyone thought it was amazing.,government,neutral,neutral,neutral,89,138,227,0.00641,128.0
186,P2_zero_shot_def,gpt5,matched,He argued that these governors shared the congressional Republican agenda enshrined in the 1994 Contract With America.,The speaker agrees with the governors,slate,contradiction,neutral,neutral,93,266,359,0.01157,256.0
187,P2_zero_shot_def,gpt5,matched,Perhaps tax reform doesn't appeal to the new spiritualized side of Bradley.,Bradley is a pastor now.,slate,neutral,neutral,neutral,84,138,222,0.0063599999999999,128.0
188,P2_zero_shot_def,gpt5,matched,uh wasn't that Jane Eyre no he wrote Jane Eyre too,Was it Jane Eyre or not?,telephone,entailment,neutral,neutral,86,970,1056,0.03966,960.0
189,P2_zero_shot_def,gpt5,matched,and they have a bar also which is always crowded as can be  but it's it's an specially fine restaurant and when you consider they take no plastic or checks,"They have a bar, which is always empty.",telephone,contradiction,contradiction,contradiction,106,76,182,0.0041,64.0
190,P2_zero_shot_def,gpt5,matched,The arts also flourished in India during these early times.,The arts languished during those early days.,travel,contradiction,contradiction,contradiction,85,461,546,0.01929,448.0
191,P2_zero_shot_def,gpt5,matched,"Say, man, don't you know you've been given up for dead? ",He died of starvation after being left in the desert by his group of friends.,fiction,neutral,contradiction,contradiction,95,396,491,0.01679,384.0
192,P2_zero_shot_def,gpt5,matched,"It can be done, he said at last. ",It is possible. ,fiction,entailment,neutral,neutral,80,650,730,0.0267999999999999,640.0
193,P2_zero_shot_def,gpt5,matched,"Perhaps all we can say of great acting is that it involves assimilation rather than accumulation, that the performer isn't so much a surrogate as a vessel.",Great actors can assimilate themselves into their roles.,slate,entailment,entailment,entailment,103,780,883,0.03223,768.0
194,P2_zero_shot_def,gpt5,matched,"Straightened out for a while, Humayun came back in 1555 with his Persian army to recapture the Punjab, Delhi, and Agra, but the next year his opium habit caused his death (see page 64).","Straightened out for a bit, Humayun came back in 1555 with his army to recapture the provinces, but was stopped by an opium addiction.",travel,entailment,neutral,neutral,147,1354,1501,0.05563,1344.0
195,P2_zero_shot_def,gpt5,matched,Scutari is traditionally associated with the name of Florence Nightingale.,There is no association between Florence Nightingale and Scutari.,travel,contradiction,contradiction,contradiction,89,12,101,0.00137,0.0
196,P2_zero_shot_def,gpt5,matched,"North of Mytilini, stop at the village of Moria, where you will find the remains of a huge Roman aqueduct surrounded by grazing goats.",The village of Moria contains the ruins of a massive Roman aqueduct.,travel,entailment,entailment,entailment,110,140,250,0.0067,128.0
197,P2_zero_shot_def,gpt5,matched,"NIPA had already recognized mineral exploration as investment, and in 1996, NIPA reclassified government purchases of plant and equipment as investment.","NIPA said mineral exploration is an investment, especially oil and gas.",government,neutral,neutral,neutral,107,458,565,0.01939,448.0
